ID,Originating Document,Section,Control Title,Control Implementation,NIST SP800-53r5 references,Assurance Level,Risk Categories,
148,SSCP v1.0,Securing Artefacts,Encrypt artefacts before distribution & ensure only authorized platforms have decryption capabilities,"Ensure contents of the artefact remain confidential in transit and at rest, until it is consumed. These artefacts can be encrypted so that they are accessible by authorized parties, such as the clusters, vulnerability scanners, etc. t is recommended organizations use key management and distribution systems with identity and attestation mechanisms (e.g. SPIFFE/SPIRE)","SC-28(1)	PROTECTION OF INFORMATION AT REST | CRYPTOGRAPHIC PROTECTION
SC-13 CRYPTOGRAPHIC PROTECTION
SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY
IA-5 AUTHENTICATOR MANAGEMENT
SC-12 CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT",High,High,
149,SSCP v1.0,Securing Build Pipelines,Cryptographically guarantee policy adherence,The presence and output of each build step should be attested during the build. The CNCF maintains the in-toto project that can be used to secure a chain of pipeline stages end-to-end with cryptographic guarantees. Build metadata should be evaluated against the policy template by using tools such as Open Policy Agent. ,"CM-3(6)	CONFIGURATION CHANGE CONTROL | CRYPTOGRAPHY MANAGEMENT",High,High,
150,SSCP v1.0,Securing Build Pipelines,Validate environments and dependencies before usage,"The build environment’s sources and dependencies must come from a secure, trusted source of truth. Checksums and any signatures should be validated both in the downloading or ingestion process, and again by the build worker. This should include validating package manager signatures, checking out specific Git commit hashes, and verifying SHA sums of input sources and binaries. After completing this validation, the downloading process should sign all binaries or libraries it is adding to the secure source","CM-3(2)	CONFIGURATION CHANGE CONTROL | TESTING, VALIDATION, AND DOCUMENTATION OF CHANGES",Moderate to High,Moderate to High,
151,SSCP v1.0,Securing Build Pipelines,Validate runtime security of build workers,"Out-of-band verification of runtime environment security, as defined by execution of policies using tools such as seccomp, AppArmor, and SELinux, provides defense in depth against attacks on build infrastructure. High privilege kernel capabilities such as debugger, device, and network attachments should be restricted and monitored.","CM-3(4)	CONFIGURATION CHANGE CONTROL | SECURITY AND PRIVACY REPRESENTATIVES",Moderate to High,Moderate to High,
152,SSCP v1.0,Securing Build Pipelines,Validate build artefacts through verifiably reproducible builds,"A verifiably reproducible build is a build process where, given a source code commit hash and a set of build instructions, an end user should be able to reproduce the built artefact bit for bit.","CM-3(4)	CONFIGURATION CHANGE CONTROL | SECURITY AND PRIVACY REPRESENTATIVES
CM-3(5)	CONFIGURATION CHANGE CONTROL | AUTOMATED SECURITY RESPONSE",High,High,
153,SSCP v1.0,Securing Build Pipelines,Lock and Verify External Requirements from the build process,,"CM-3(2)	CONFIGURATION CHANGE CONTROL | TESTING, VALIDATION, AND DOCUMENTATION OF CHANGES",Moderate to High,Moderate to High,
154,SSCP v1.0,Securing Build Pipelines,Find and Eliminate Sources of Non-Determinism,Reproducible-builds.org documents and offers solutions for many of these things. Diffoscope41 can be used to dig in and find the cause of differences when tracking down sources of non-determinism.,,Moderate to High,Moderate to High,
155,SSCP v1.0,Securing Build Pipelines,Record the Build Environment,Ensure best practices outlined in cloud native security paper are followed to deploy a secure orchestration layer,"CM-3(1)	CONFIGURATION CHANGE CONTROL | AUTOMATED DOCUMENTATION, NOTIFICATION, AND PROHIBITION OF CHANGES",High,High,
156,SSCP v1.0,Securing Build Pipelines,Automate Creation of the Build Environment,,"CM-3(3)	CONFIGURATION CHANGE CONTROL | AUTOMATED CHANGE IMPLEMENTATION",High,High,
157,SSCP v1.0,Securing Build Pipelines,Distribute Builds across different infrastructure,,"CM-3(3)	CONFIGURATION CHANGE CONTROL | AUTOMATED CHANGE IMPLEMENTATION",High,High,
158,SSCP v1.0,Securing Build Pipelines,Build and related CI/CD steps should be automated through a pipeline delivered as code,,"SA-3 SYSTEM DEVELOPMENT LIFE CYCLE
SA-11 DEVELOPER TESTING AND EVALUATION",Moderate to High,Moderate to High,
159,SSCP v1.0,Securing Build Pipelines,Standardize pipelines across projects,,,Moderate to High,Moderate to High,
160,SSCP v1.0,Securing Build Pipelines,Provision a secured orchestration platform to host software factory,,,Moderate to High,Moderate to High,
161,SSCP v1.0,Securing Build Pipelines,Build workers should be single use,,AC-2 ACCOUNT MANAGEMENT,High,Moderate,
162,SSCP v1.0,Securing Build Pipelines,Ensure software factory has minimal network connectivity,"The software factory should have no network connectivity other than to connect to the trusted sources of hardened source code, the dependency repository and code signing infrastructure.","SC-7(3)	BOUNDARY PROTECTION | ACCESS POINTS",High,High,
163,SSCP v1.0,Securing Build Pipelines,Segregate the duties of each build worker,,AC-5 SEPARATION OF DUTIES,High,High,
164,SSCP v1.0,Securing Build Pipelines,Pass in build worker environment and commands,"Inorder to limit hostile tooling and persistent impants from attackers, a Build Worker should start with a clean and isolated environmment. It should not be able to pull its own environment. Ensure environment variables and commands are explicitly passed to avoid any complicated and opaque build process",CM-2(2) BASELINE CONFIGURATION | AUTOMATION SUPPORT FOR ACCURACY / CURRENC,High,High,
165,SSCP v1.0,Securing Build Pipelines,Write output to separate secured storage repo,The output artefact should be written to a separate shared storage from the inputs. A process separate from the Build Worker should then upload that artefact to an appropriate repository.,AU-9(2) PROTECTION OF AUDIT INFORMATION | STORE ON SEPARATE PHYSICAL SYSTEMS OR COMPONENTS,High,High,
166,SSCP v1.0,Securing Build Pipelines,Only allow pipeline modification through “pipeline as code”,The pipeline configuration (pipeline as code) should be immutable and any modification shouldn't be possible. This prevents attackers from interacting and modifying the configuration. This model then requires appropriate authentication and authorization to be in place for the software and configuration of the pipeline,,Moderate to High,Moderate to High,
167,SSCP v1.0,Securing Build Pipelines,Define user roles,,AC-2 ACCOUNT MANAGEMENT,Moderate to High,Moderate to High,
168,SSCP v1.0,Securing Build Pipelines,Follow established practices for establishing a root of trust from an offline source,,"SC-17 PUBLIC KEY INFRASTRUCTURE CERTIFICATES
IA-5(2) AUTHENTICATOR MANAGEMENT | PUBLIC KEY-BASED AUTHENTICATION
SA-8(10) SECURITY AND PRIVACY ENGINEERING PRINCIPLES | HIERARCHICAL TRUST
SR-4(4)        PROVENANCE | SUPPLY CHAIN INTEGRITY — PEDIGREE",High,High,
169,SSCP v1.0,Securing Build Pipelines,Use short-lived workload certificates,,"SC-23(5) SESSION AUTHENTICITY | ALLOWED CERTIFICATE AUTHORITIES
SC-17 PUBLIC KEY INFRASTRUCTURE CERTIFICATES",High,High,
170,SSCP v1.0,Securing Deployments,Ensure clients can perform verification of artefacts and associated metadata,,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",Moderate to High,Moderate to High,
171,SSCP v1.0,Securing Deployments,Ensure clients can verify the “freshness” of files,Ensure clients can access latest versions and can veriify if the provided files are out of date,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",Moderate to High,Moderate to High,
172,SSCP v1.0,Securing Deployments,Use an automated approach for managing software updates,"Consider using The Update Framework (TUF) to enforce the updating of software. TUF is a specification for delivering software updates in a secure, reliable and trusted way",,High,High,
173,SSCP v1.0,Securing Materials,Verify third party artefacts and open source libraries,"All third party artefacts, open source libraries and any other dependencies should be verified as part of the continuous integration pipeline by validating their checksums against a known good source and validating any cryptographic signatures. Any software ingested must be scanned using Software Composition Analysis (SCA) and pentesting tools to detect whether any vulnerable open-source software is used in the final product.",SA-11 DEVELOPER TESTING AND EVALUATION,Moderate to High,Moderate to High,
174,SSCP v1.0,Securing Materials,Require SBOM from third party suppliers,"Where possible, vendors should be required to provide Software Bills of Materials (SBOMs) containing the explicit details of the software and versions used within the supplied product as it provides a clear and direct link to the dependencies.",CM-8 INFORMATION SYSTEM COMPONENT INVENTORY ,High,High,
175,SSCP v1.0,Securing Materials,Track dependencies between open source components,"A register should be maintained of a project’s open source components, dependencies and vulnerabilities to help trace any deployed artefacts with new vulnerabilities. One of the most popular open source inventory implementations is OWASP Dependency-Track.",CM-10 SOFTWARE USAGE RESTRICTIONS,Moderate to High,Moderate to High,
176,SSCP v1.0,Securing Materials,Build libraries based upon source code,,,High,High,
177,SSCP v1.0,Securing Materials,Define and prioritize trusted package managers and repositories,"Organizations should host their own package managers and artefact repositories, and restrict build machines to pull from only those sources.",,High,High,
178,SSCP v1.0,Securing Materials,Generate an immutable SBOM of the code,There are currently two well known SBOM specifications: SPDX34 and CycloneDX,,Moderate to High,Moderate to High,
179,SSCP v1.0,Securing Materials,Scan software for vulnerabilities,,"RA-5 VULNERABILITY MONITORING AND SCANNING
SA-3 SYSTEM DEVELOPMENT LIFE CYCLE",Moderate to High,Moderate to High,
180,SSCP v1.0,Securing Materials,Scan software for license implications,Licensing obligations must also be factored into the ingestion process. The Linux Foundation maintains the Open Compliance Program36 which hosts several tools to ensure released software meets legal and regulatory compliance requirements.,CM-10 SOFTWARE USAGE RESTRICTIONS,Moderate to High,Moderate to High,
181,SSCP v1.0,Securing Materials,Run software composition analysis on ingested software,"The SCA tool will attempt to use heuristics to identify the direct and transitive dependencies, and can also serve as verification of SBOM content. This data will then be matched against data from a number of data feeds containing vulnerability data to highlight any vulnerabilities in the dependent packages.",SA-11 (1) (8) & (9) DEVELOPER TESTING AND EVALUATION,Moderate to High,Moderate to High,
182,SSCP v1.0,Securing the Source Code,Commits and tags are signed,GPG keys or S/MIME certificates are used to sign the source code,"SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY",Moderate to High,Moderate to High,
183,SSCP v1.0,Securing the Source Code,Enforce full attestation and verification for protected branches,Branch protection is enabled on the mainline and release branches with force push disabled,AC-6(3) LEAST PRIVILEGE | NETWORK ACCESS TO PRIVILEGED COMMANDS,High,High,
184,SSCP v1.0,Securing the Source Code,Secrets are not committed to the source code repository unless encrypted,"Implement tooling to detect secrets or to prevent certain files from being pushed which may contain plaintext sensitive materials, such as via a .gitignore and/or .gitattributes file, client-side hook (pre-commit), server-side hook (pre-receive or update), and/or as a step in the CI process","SC-12(3) SYSTEMS & COMMUNICATION PROTECTION
SC-12(2) CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT | SYMMETRIC & ASYMMETRIC KEYS",Moderate to High,Moderate to High,
185,SSCP v1.0,Securing the Source Code,The individuals or teams with write access to a repository are defined,Implement codeowners (or equivalent),"PL-1 POLICY AND PROCEDURES
AC-3 ACCESS ENFORCEMENT",High,High,
186,SSCP v1.0,Securing the Source Code,Automate software security scanning and testing,"Security specific scans should be performed, including Static Application Security Tests (SAST) and Dynamic Application Security Tests (DAST). Both the coverage and results of these tests should be published as part of the repository information to help downstream consumers of software better assess the stability, reliability, and/or suitability of a product or library. ","RA-5 VULNERABILITY MONITORING AND SCANNING
SA-3 SYSTEM DEVELOPMENT LIFE CYCLE",Moderate to High,Moderate to High,
187,SSCP v1.0,Securing the Source Code,Establish and adhere to contribution policies,"Define configuration options or configuration rules witthin SCM platforms allow repository administrators to enforce security, hygiene and operational policies.",PL-1 POLICY AND PROCEDURES,Moderate to High,Moderate to High,
188,SSCP v1.0,Securing the Source Code,Define roles aligned to functional responsibilities,"Define roles by using principle of least privileges to provide access based on function such as Developer, Maintainer, Owner, Reviewer, Approver, and Guest",PL-1 POLICY AND PROCEDURES,Moderate to High,Moderate to High,
189,SSCP v1.0,Securing the Source Code,Enforce an independent four-eyes principle,The author(s) of a request may not also be the approver of the request. At least two reviewers with equal or greater expertise should review & approve the request.,SA-11 DEVELOPER TESTING AND EVALUATION,Moderate to High,Moderate to High,
190,SSCP v1.0,Securing the Source Code,Use branch protection rules,"SCM platforms allow the configuration and restriction of source code operations on individual branches. Protection rules can be used to enforce the usage of pull requests with specified precondition and approval rules, ensuring that a human code review process is followed or an automated status checking of a branch occurs. Additionally, protected branches can be used to disallow dangerous use of force pushes26, preventing the overwrite of commit histories and potential obfuscation of code changes.",SA-8 SECURITY ENGINEERING PRINCIPLES,Moderate to High,Moderate to High,
191,SSCP v1.0,Securing the Source Code,Enforce MFA for accessing source code repositories,,IA-2(1) Identification and Authentication (organizational Users) | Multi-Factor Authenticaiton to Priviledged Accounts,Moderate to High,Moderate to High,
192,SSCP v1.0,Securing the Source Code,Use SSH keys to provide developers access to source code repositories,,AC-1 REMOTE ACCESS,Moderate to High,Moderate to High,
193,SSCP v1.0,Securing the Source Code,Have a key rotation policy,"It is recommended to implement a key rotation policy to ensure that compromised keys will cease to be usable after a certain period of time. When a private key is known to have been compromised, it should be revoked and replaced immediately to shut off access for any unauthorized user. Organizations may also consider using short lived certificates or keys, which reduces the reliance on certificate revocation systems.",AC-2(1) ACCOUNT MANAGEMENT | AUTOMATED SYSTEM ACCOUNT MANAGEMENT,Moderate to High,Moderate to High,
194,SSCP v1.0,Securing the Source Code,Use short-lived/ephemeral credentials for machine/service access,"Short-life credential issuance encourages the use of fine grained permissions and automation in provisioning access tokens. For CI/CD pipeline agents, short-lived access tokens should be considered instead of password-based credentials. The use of very short-lived tokens like OAuth 2.0, OpenID Connect, etc., will help to implement more secure access and increase the security assurance.",AC-2(1) ACCOUNT MANAGEMENT | AUTOMATED SYSTEM ACCOUNT MANAGEMENT,Moderate to High,Moderate to High,
195,CNSWP v2.0,Access,"Secrets are injected at runtime, such as environment variables or as a file",,IA-5(7) Authenticator Management | No Embedded Unencrypted Static Authenticators,N/A,N/A,
196,CNSWP v2.0,Access,Applications and workloads are explicitly authorized to communicate with each other using mutual authentication,,IA-9 Service Identification and Authentication,N/A,N/A,
197,CNSWP v2.0,Access,Keys are rotated frequently,,SC-12 Cryptographic Key Establishment and Management,N/A,N/A,
198,CNSWP v2.0,Access,Key lifespan is short,,SC-12(3) Cryptographic Key Establishment and Management | Asymetric Key,N/A,N/A,
199,CNSWP v2.0,Access,Credentials and keys protecting sensitive workloads (health/finance/etc) are customer managed (e.g. generated and managed independent of a cloud service provider),KMS and HMS are common technologies to achieve this. FIPS 140-2 compliance is strongly suggested. Cloud KMS tends to be FIPS 140-2 Level 2 or greater.,IA-2(12) Identification and Authentication (Organizational Users) | Acceptance of PIV Credentials,N/A,N/A,
200,CNSWP v2.0,Access,Authentication and authorization are determined independently,,IA-2(6) Identification and Authentication (Organizational Users) | Access to Accounts - Separate Devices,N/A,N/A,
201,CNSWP v2.0,Access,Authentication and authorization are enforced independently,,IA-2(6) Identification and Authentication (Organizational Users) | Access to Accounts - Separate Devices,N/A,N/A,
202,CNSWP v2.0,Access,Access control and file permissions are updated in real-time,where possible as caching may permit unauthorized access,SI-4(2) System Monitoring | Automated Tools and Mechanisms for Real-Time Analysis,N/A,N/A,
203,CNSWP v2.0,Access,Authorization for workloads is granted based on attributs and roles/permissions previously assigned,,AC-3(13) Access Enforcement | Attribute-Based Access Control,N/A,N/A,
204,CNSWP v2.0,Access,ABAC and RBAC are used,,"AC-3(13) Access Enforcement | Attribute-Based Access Control
AC-3(7) Access Enforcement | Role-Based Access Control",N/A,N/A,
205,CNSWP v2.0,Access,"End user identity is capable of being accepted, consumed, and forwarded on for contextual or dynamic authorization",This can be achieved through the use of identity documents and tokens.,SC-7(19) Boundary Protection | Block Communication from Non-Organizationally Configured Hosts,N/A,N/A,
206,CNSWP v2.0,Access,All cluster and workloads operators are authenticated,,IA-7 Cryptographic Module Authentication,N/A,N/A,
207,CNSWP v2.0,Access,"cluster and worklods operate actions are evaluated against access control policies governing context, purpose, and output",,IA-7 Cryptographic Module Authentication,N/A,N/A,
208,CNSWP v2.0,Access,Identity federation uses multi-factor authentication for human users,,IA-2(1)(2) Identification and Authentication (organizational Users) | Multi-Factor Authenticaiton to Priviledged & Non Priveledged Accounts,N/A,N/A,
209,CNSWP v2.0,Access,HSMs are used to physically protect cryptographic secrets with an encryption key residing in the HSM,"If this is not possible, software-based credential managers should be used.","AC-4(4) Information Flow Enforcement | Flow Control of Encrypted Information
SC-3(1) Security Function Isolation | Hardware Separation",N/A,N/A,
210,CNSWP v2.0,Access,Secrets should have a short expiration period or time to live,Leverage tool-specific capabilities of secret manager,SI-12 Information Management and Retention,N/A,N/A,
211,CNSWP v2.0,Access,Time to live and expiration period on secrets is verfied to prevent reuse,Leverage tool-specific capabilities of secret manager,AC-16(3) Security and Privacy Attributes | Maintenance of Attribute Associations by System,N/A,N/A,
212,CNSWP v2.0,Access,Secrets management systems are highly available,,SC-12(1) Cryptographic Key Establishment and Management | Availability,N/A,N/A,
213,CNSWP v2.0,Access,Long-lived secrets adhere to periodic rotation and revocation,"Long-lived secrets are not recommended, but some capabilities require them",SI-12 Information Management and Retention,N/A,N/A,
214,CNSWP v2.0,Access,Secrets are distributed through secured communication channels protected commensurate with the level of access or data they are protecting,,AC-16 Security and Privacy Atributes,N/A,N/A,
215,CNSWP v2.0,Access,"Secrets injected are runtime are masqued or dropped from logs, audit, or system dumps","Even short lived secrets may be resused if caught in time by an interested attacker. Logs, audit, and systems dumps (i.e. in-memory shared volumes instead of environment variables) are all areas where runtime injected secrets show up",AU-9(3) Protection of Audit Information | Cryptographic Protection,N/A,N/A,
216,CNSWP v2.0,Compute,Bootstrapping is employed to verify correct physical and logical location of compute,Secure Boot with TPM 2.0 or similar control,"SI-7(9) Software, Firmware, and Information Integrity | Verify Boot Process",N/A,N/A,
217,CNSWP v2.0,Compute,Disparate data sensitive workloads are not run on the same host OS kernel,"There are at least three implementing controls possible: workloads may be separated by running in a separate cluster, on a separate node, or by implementing pods in independent VMs. It is also possible to emulate the kernel via an application kernel (e.g. gvisor)",SC-7 Boundary Protection,N/A,N/A,
218,CNSWP v2.0,Compute,Monitor and detect any changes to the initial configurations made in runtime,Preventative controls should be the primary control. Detective controls monitoring filesystem changes should be used to verify primary controls are operating properly.,CM-2(2) Baseline Configuration | Automation Support for Accuracy and Currency CM-3(7) Configuration Change Control | Review System Changes,N/A,N/A,
219,CNSWP v2.0,Compute,API auditing is enabled with a filter for a specific set of API Groups or verbs,"API audits of the application, kubernetes API server, and kernel should be implemented.",AU-2 Event Logging,N/A,N/A,
220,CNSWP v2.0,Compute,Container specific operating systems are in use,a read-only OS with other services disabled. This provides isolation and resource confinement that enables developers to run isolated applications on a shared host kernel,CM-2 Baseline Configuration CM-7 Least Functionality,N/A,N/A,
221,CNSWP v2.0,Compute,The hardware root of trust is based in a Trusted Platform Module (TPM) or virtual TPM (vTPM),"Ensure HW root of trust extends to the host OS kernel, modules, system images, container runtimes, and all software on the system.","SI-7 Software, Firmware, and Information Integrity",N/A,N/A,
222,CNSWP v2.0,Compute,Minimize administrative access to the control plane,Enure both users and pods have the minimum necessary access,AC-6 Least Privilege,N/A,N/A,
223,CNSWP v2.0,Compute,Object level and resource requests and limits are controlled through cgroups,"helps prevent exhaustion of node and cluster level resources by one misbehaving workload due to an intentional (e.g., fork bomb attack or cryptocurrency mining) or unintentional (e.g., reading a large file in memory without input validation, horizontal autoscaling to exhaust compute resources) issue","SI-7(16) Software, Firmware, and Information Integrity | Time Limit on Process Execution Without Supervision
SI-7(17) Software, Firmware, and Information Integrity | Runtime Application Self-protection",N/A,N/A,
224,CNSWP v2.0,Compute,Systems processing alerts are periodically tuned for false positives,"to avoid alert flooding, fatigue, and false negatives after security incidents that were not detected by the system",SI-4(13) System Monitoring | Analyze Traffic and Event Patterns,N/A,N/A,
225,CNSWP v2.0,Compute,All orchestrator control plane components are configured to communicate via mutual authentication and certificate validation with a periodically rotated certificate,"In unfederated clusters, the CA should be used exclusively for the current cluster.",AC-3 Access Enforcement,N/A,N/A,
226,CNSWP v2.0,Compute,"Only sanctioned capabilities and system calls (e.g. seccomp filters), are allowed to execute or be invoked in a container by the host operating system",Additional tooling should be installed that go beyond k8s capabilities to limit system calls. E.g. Falco.,CM-2 Baseline Configuration CM-7 Least Functionality,N/A,N/A,
227,CNSWP v2.0,Compute,"Changes to critical mount points and files are prevented, monitored, and alerted",,CM-5 Access Restrictions for Change,N/A,N/A,
228,CNSWP v2.0,Compute,"Runtime configuration control prevents changes to binaries, certificates, and remote access configurations",,CM-5 Access Restrictions for Change,N/A,N/A,
229,CNSWP v2.0,Compute,Runtime configuration prevents ingress and egress network access for containers to only what is required to operate,,SC-7 Boundary Protection,N/A,N/A,
230,CNSWP v2.0,Compute,Policies are defined that restrict communications to only occur between sanctioned microservice pairs,,SC-7 Boundary Protection,N/A,N/A,
231,CNSWP v2.0,Compute,"Use a policy agent to control and enforce authorized, signed container images",,CM-5 Access Restrictions for Change,N/A,N/A,
232,CNSWP v2.0,Compute,Use a policy agent to control provenance assurance for operational workloads,,CM-5 Access Restrictions for Change,N/A,N/A,
233,CNSWP v2.0,Compute,"Use a service mesh that eliminates implicit trust through data-in-motion protection (i.e. confidentiality, integrity, authentication, authorization)",,SC-7 Boundary Protection,N/A,N/A,
234,CNSWP v2.0,Compute,"Use components that detect, track, aggregate and report system calls and network traffic from a container",should be leveraged to look for unexpected or malicious behavior,SI-4 System Monitoring,N/A,N/A,
235,CNSWP v2.0,Compute,Workloads should be dynamically scanned to detect malicious or insidious behavior for which no known occurrence yet exists,"Events such as an extended sleep command that executes data exfiltration from etcd after the workload has been running for X amount of days are not expected in the majority of environments and therefore are not included in security tests. The aspect that workloads can have time or event delayed trojan horses is only detectable by comparing to baseline expected behavior, often discovered during thorough activity and scan monitoring",SI-3 Malicious Code Protection,N/A,N/A,
236,CNSWP v2.0,Compute,Environments are continuously scanned to detect new vulnerabilities in workloads,"Vulnerabilities are constantly being discovered, just because it wasnt vulnerable at deploy, doesn't mean it won't be vulnerable in two weeks",RA-5 Vulnerability Monitoring and Scanning,N/A,N/A,
237,CNSWP v2.0,Compute,"Actionable audit events are generated that correlate/contextualize data from logs into ""information"" that can drive decision trees/incident response",,AU-3 Content of Audit Records,N/A,N/A,
238,CNSWP v2.0,Compute,Segregation of duties and the principle of least privilege is enforced,,AC-6 Least Privilege,N/A,N/A,
239,CNSWP v2.0,Compute,Non-compliant violations are detected based on a pre-configured set of rules defined by the organization's policies,,"SI-7 Software, Firmware, and Information Integrity",N/A,N/A,
240,CNSWP v2.0,Compute,Native secret stores encrypt with keys from an external Key Management Store (KMS),,SC-12(3) Systems & Communication Protection,N/A,N/A,
241,CNSWP v2.0,Compute,Native secret stores are not configured for base64 encoding or stored in clear-text in the key-value store by default,Encoding is not encryption,SC-12(3) Systems & Communication Protection,N/A,N/A,
242,CNSWP v2.0,Compute,Network traffic to malicious domains is detected and denied,,SI-4 System Monitoring,N/A,N/A,
243,CNSWP v2.0,Compute,"Use encrypted containers for sensitive sources, methods, and data",,SC-28 Protection of Information at Rest,N/A,N/A,
244,CNSWP v2.0,Compute,"Use SBOMs to identify current deployments of vulnerable libraries, dependencies, and packages",,CM-8 System Component Inventory,N/A,N/A,
245,CNSWP v2.0,Compute,Processes must execute only functions explicitly defined in an allow list,,CM-2 Baseline Configuration CM-7 Least Functionality,N/A,N/A,
246,CNSWP v2.0,Compute,Functions are not be allowed to make changes to critical file system mount points,,CM-5 Access Restrictions for Change,N/A,N/A,
247,CNSWP v2.0,Compute,Function access is only permitted to sanctioned services,Either through networking restrictions or least privilege in permission models,CM-2 Baseline Configuration CM-7 Least Functionality,N/A,N/A,
248,CNSWP v2.0,Compute,Egress network connection is monitored to detect and prevent access to C&C (command and control) and other malicious network domains,,SI-4 System Monitoring,N/A,N/A,
249,CNSWP v2.0,Compute,Ingress network inspection is employed detect and remove malicious payloads and commands,"For instance, SQL injection attacks can be detected using inspection.",SI-4 System Monitoring,N/A,N/A,
250,CNSWP v2.0,Compute,Serverless functions are run in tenant-based resource or performance isolation for similar data classifications,This may impact the performance due to limitations in the address space available to the isolation environment and should be considered for only the most sensitive workloads.,SC-7(21) Boundary Protection | Isolation of System Components,N/A,N/A,
251,CNSWP v2.0,Deploy,Trust confirmation verifies the image has a valid signature from an authorized source,,"SR-4 (3) PROVENANCE | VALIDATE AS GENUINE AND NOT ALTERED
SR-4 (4)  PROVENANCE | SUPPLY CHAIN INTEGRITY — PEDIGREE",N/A,N/A,
252,CNSWP v2.0,Deploy,Image runtime policies are enforced prior to deployment,,"SI-7 (17) SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY | RUNTIME APPLICATION SELF-PROTECTION",N/A,N/A,
253,CNSWP v2.0,Deploy,Image integrity and signature are verified prior to deployment,,"SR-4 (3) PROVENANCE | VALIDATE AS GENUINE AND NOT ALTERED
SR-4 (4)  PROVENANCE | SUPPLY CHAIN INTEGRITY — PEDIGREE",N/A,N/A,
254,CNSWP v2.0,Deploy,"Applications provide logs regarding authentication, authorization, actions, and failures",,CM-3 CONFIGURATION CHANGE CONTROL,N/A,N/A,
255,CNSWP v2.0,Deploy,Forensics capabilities are integrated into an incident response plan and procedures,,INCIDENT HANDLING | MALICIOUS CODE AND FORENSIC ANALYSIS,N/A,N/A,
256,CNSWP v2.0,Deploy,"AI, ML, or statistical modeling are used for behavioural and heuristic environment analysis to detect unwanted activities",,SI-3 SYSTEM AND INFORMATION INTEGRITY,N/A,N/A,
257,CNSWP v2.0,Develop,Establish a dedicated Production environment,"Ensure that production workloads are in a separate, dedicated environment from non-production workloads. In the context of containers, this can mean separate clusters. In the case of VMs, separate networks.",SA-3(1) SYSTEM DEVELOPMENT LIFE CYCLE | MANAGE PREPRODUCTION ENVIRONMENT,N/A,N/A,
258,CNSWP v2.0,Develop,Leverage Dynamic deployments,"Blue/Green, Alpha/Beta, Canary, red-black deployments",SA-8(31) SECURITY AND PRIVACY ENGINEERING PRINCIPLES | SECURE SYSTEM MODIFICATION,N/A,N/A,
259,CNSWP v2.0,Develop,Integrate vulnerability and configuration scanning in both the IDE and at the CI system during pull request,,SA-11(1) DEVELOPER TESTING AND EVALUATION | STATIC CODE ANALYSIS,N/A,N/A,
260,CNSWP v2.0,Develop,"Establish dedicated development, testing, and production environment",,"SA-15 DEVELOPMENT PROCESS, STANDARDS, AND TOOLS",N/A,N/A,
261,CNSWP v2.0,Develop,Build tests for business-critical code,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
262,CNSWP v2.0,Develop,Build tests for business-critical infrastructure,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
263,CNSWP v2.0,Develop,Test suite able to be ran locally,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
264,CNSWP v2.0,Develop,Test suites should be available to run in a shared environment,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
265,CNSWP v2.0,Develop,Implement at least one other non-author reviewer/approver prior to merging,,SA-11(4) DEVELOPER TESTING AND EVALUATION | MANUAL CODE REVIEWS,N/A,N/A,
266,CNSWP v2.0,Develop,Code should be clean and well commented,,,N/A,N/A,
267,CNSWP v2.0,Develop,Full infrastructure tests are used,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
268,CNSWP v2.0,Develop,Regression tests are used,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
269,CNSWP v2.0,Develop,Test suites are updated against new and emerging threats and developed into security regressions tests,,SA-11 DEVELOPER TESTING AND EVALUATION,N/A,N/A,
270,CNSWP v2.0,Develop,Establish a dedicated Testing environment,,SA-3(1) SYSTEM DEVELOPMENT LIFE CYCLE | MANAGE PREPRODUCTION ENVIRONMENT,N/A,N/A,
271,CNSWP v2.0,Develop,Continuous integration server is isolated and hardened,,SC-39 PROCESS ISOLATION,N/A,N/A,
272,CNSWP v2.0,Develop,Use threat model results to determine ROI for test development,,SA-11(2) DEVELOPER TESTING AND EVALUATION | THREAT MODELING AND VULNERABILITY ANALYSES,N/A,N/A,
273,CNSWP v2.0,Develop,Implement secure configuration as the default state of the system,"Transitioning towards such a system involves making security a design requirement, inheriting default security configuration and supporting an exception process",SA-8(23) SECURITY AND PRIVACY ENGINEERING PRINCIPLES | SECURE DEFAULTS,N/A,N/A,
274,CNSWP v2.0,Distribute,"Should software artifacts become untrusted due to compromise or other incident, teams should revoke signing keys to ensure repudiation",,,N/A,N/A,
